Filename,Cellname,Crack,Contact,Interconnect,Corrosion
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell0.png,cell0.json,0.0,0.0089478,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell1.png,cell1.json,0.0,0.0009999,0.0007179,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell10.png,cell2.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell11.png,cell3.json,0.0,0.0015639,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell12.png,cell4.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell13.png,cell5.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell14.png,cell6.json,0.0,0.0,0.0003333,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell15.png,cell7.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell16.png,cell8.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell17.png,cell9.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell18.png,cell10.json,0.0,0.0003333,0.0007692,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell19.png,cell11.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell2.png,cell12.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell20.png,cell13.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell21.png,cell14.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell22.png,cell15.json,0.0,0.0,0.0,0.0037688
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell23.png,cell16.json,0.0,0.0,0.0,0.0
20170505_032228_SHELL_M55_6330431490_before_s_A_V_cell24.png,cell17.json,0.0,0.0021023,0.0005384,0.0
